SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
26408,"2022-04","39","달맞이축제","달맞이축제",20,"문화축제"
26411,"2022-04","712","달집태우기","달집태우기",520,"문화축제"
25922,"2022-04","997","2014 안양시민축제","안양시민축제",140,"문화축제"
25925,"2022-04","992","2015 안양 시민축제","안양시민축제",140,"문화축제"
25928,"2022-04","396","2016 대가야체험축제","대가야체험축제",1640,"문화축제"
25931,"2022-04","945","2016 대구약령시한방문화축제","대구약령시한방문화축제",210,"문화축제"
25934,"2022-04","994","2016 안양 시민축제","안양시민축제",140,"문화축제"
25937,"2022-04","996","2016 제5회 안양공공예술프로젝트","안양공공예술프로젝트",70,"문화축제"
25940,"2022-04","819","2016 평생학습 박람회 & 제6회 도서관책문화축제","평생학습박람회",100,"문화축제"
25943,"2022-04","283","2017 겨울공주군밤축제","겨울공주군밤축제",30,"문화축제"
25946,"2022-04","952","2017 대구약령시한방문화축제","대구약령시한방문화축제",210,"문화축제"
25949,"2022-04","627","2017 물의나라화천 쪽배축제","물의나라화천쪽배축제",19,"문화축제"
25952,"2022-04","1001","2017 안양 시민축제","안양시민축제",140,"문화축제"
25955,"2022-04","998","2017 안양충훈벚꽃축제","안양충훈벚꽃축제",750,"문화축제"
25958,"2022-04","628","2017 얼음나라화천 산천어축제","얼음나라화천산천어축제",150,"문화축제"
25961,"2022-04","4","2017 영동곶감축제","영동곶감축제",13,"문화축제"
25964,"2022-04","385","2017 음식 문화축제","음식문화축제",20,"문화축제"
25967,"2022-04","289","2018 계룡산벚꽃축제","계룡산벚꽃축제",740,"문화축제"
25970,"2022-04","287","2018 계룡산산신제","계룡산산신제",1270,"문화축제"
25973,"2022-04","286","2018 공주 석장리 세계구석기축제","공주석장리세계구석기축제",2080,"문화축제"
25976,"2022-04","962","2018 대구약령시한방문화축제","대구약령시한방문화축제",210,"문화축제"
25980,"2022-04","1123","2018 무안황토갯벌축제","무안황토갯벌축제",140,"문화축제"
25984,"2022-04","799","2018 안산 김홍도축제","안산김홍도축제",30,"문화축제"
25987,"2022-04","1005","2018 안양 시민축제","안양시민축제",140,"문화축제"
25990,"2022-04","1002","2018 안양충훈벚꽃축제","안양충훈벚꽃축제",750,"문화축제"
25993,"2022-04","313","2018 연제고분판타지축제","연제고분판타지축제",25,"문화축제"
25995,"2022-04","285","2018 웅진성수문병 근무교대식","웅진성수문병근무교대식",40,"문화축제"
25998,"2022-04","386","2018 음식 문화축제","음식문화축제",20,"문화축제"
26001,"2022-04","501","2018 전주비빔밥축제","전주비빔밥축제",480,"문화축제"
26006,"2022-04","444","2018 종로한복축제","종로한복축제",280,"문화축제"
26009,"2022-04","1094","2019 강남페스티벌","강남페스티벌",110,"문화축제"
26012,"2022-04","298","2019 계룡산벚꽃축제","계룡산벚꽃축제",740,"문화축제"
26015,"2022-04","296","2019 계룡산산신제","계룡산산신제",1270,"문화축제"
26018,"2022-04","609","2019 고양가을꽃축제","고양가을꽃축제",150,"문화축제"
26021,"2022-04","597","2019 고양국제꽃박람회","고양국제꽃박람회",15650,"문화축제"
26024,"2022-04","602","2019 고양행주문화제","고양행주문화제",80,"문화축제"
26027,"2022-04","610","2019 고양호수예술축제","고양호수예술축제",230,"문화축제"
26030,"2022-04","295","2019 공주 석장리 구석기축제","공주석장리구석기축제",590,"문화축제"
26033,"2022-04","863","2019 곶자왈 반딧불이 축제","곶자왈반딧불이축제",190,"문화축제"
26036,"2022-04","306","2019 군포철쭉축제","군포철쭉축제",27040,"문화축제"
26039,"2022-04","223","2019 금정산성축제","금정산성축제",60,"문화축제"
26042,"2022-04","975","2019 대구약령시한방문화축제","대구약령시한방문화축제",210,"문화축제"
26045,"2022-04","873","2019 대전 서구힐링 아트페스티벌","대전서구힐링아트페스티벌",200,"문화축제"
26048,"2022-04","836","2019 대한민국 국향대전","대한민국국향대전",20,"문화축제"
26055,"2022-04","862","2019 보목자리돔축제","보목자리돔축제",80,"문화축제"
26058,"2022-04","150","2019 보정역생활문화센터 <청춘파티  - 특별프로그램>","보정역생활문화센터",250,"문화축제"
26061,"2022-04","889","2019 부평풍물대축제","부평풍물대축제",380,"문화축제"
26064,"2022-04","859","2019 사려니숲 에코힐링 체험","사려니숲에코힐링체험",70,"문화축제"
26067,"2022-04","384","2019 수원등불축제","수원등불축제",230,"문화축제"
26070,"2022-04","382","2019 수원연극축제","수원연극축제",870,"문화축제"
26073,"2022-04","365","2019 순천 푸드앤아트 페스티벌","순천푸드앤아트페스티벌",120,"문화축제"
